일자,배달의민족,요기요,전화,기타,배민1,쿠팡이츠
Jan-23,770,150,95,20,,
Jan-23,643,114,86,17,,
Mar-23,808,124,113,11,,
23-Apr,748,142,112,15,38,
May-23,694,138,119,15,45,
23-Jun,689,102,115,16,19,
Jul-23,476,55,72,11,20,
Aug-23,663,,146,31,,
Sep-23,877,131,123,36,14,12
Oct-23,935,198,135,75,94,12
Nov-23,816,203,114,48,126,17
Dec-23,877,290,145,45,124,23
Jan-24,791,243,157,44,121,22
01-Feb,603,197,171,32,96,26
Mar-24,618,203,175,38,233,29
01-Apr,561,169,148,37,178,51
May-24,557,158,184,45,187,132
01-Jun,534,153,137,53,162,272
01-Jun,551,140,130,66,160,259
01-Aug,530,151,193,88,157,312
01-Sep,475,148,140,72,148,320
Oct-24,451,158,125,134,158,357
Nov-24,486,146,163,119,146,396
Dec-24,467,65,189,162,65,437
Jan-25,441,179,136,51,235,480
Feb-25,367,50,279,90,140,314
Mar-25,477,126,318,85,151,374
